id	feladat	nehezseg
1	A második felében alacsonyabb csúcs volt? *	
2	Alacsony szigetek *	
3	Leghosszabb tengerszakasz hossza *	
4	Az első felében magasabb csúcs volt? *	
5	Csúcs nélküli sziget *	
6	Egymáshoz legközelebbi szigetpár *	
7	Egyre keskenyebb szigetek? *	
8	Egyre magasabb szigetek? *	
9	Egyre szélesebb szigetek? *	
10	Hegycsúcsok magasságai *	
11	Legelszigeteltebb sziget *	
12	Leginkább középen lévő sziget *	
13	Legkisebb szintkülönbségű sziget *	
14	Leglaposabb csúcsú sziget *	
15	Leglaposabb partú sziget *	
16	Legmagasabb csúcs *	
17	Legmagasabb csúcsú sziget *	
18	Legmélyebb völgyű sziget *	
19	Legmeredekebb csúcsú sziget *	
20	Legszélesebb síkság szigeten *	
21	Legszélesebb sziget *	
22	Legvölgyesebb sziget *	
23	Magas szigetek *	
25	Minden sziget legmagasabb pontja csúcs? *	
26	Szigetek teljes hossza *	
27	Szigeteken lévő hegycsúcsok magasságai *	
28	Tengerszakaszok teljes hossza *	
29	Van két egyforma szélességű sziget? *	
